               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11762,            0.025616,            0.027775,           0.0055838,            0.014885,           0.0019457,          0.00033035,             0.10456,             0.02074,            0.024175,             0.00034,             0.00034,             0.09694
                   1,             0.10221,            0.024075,            0.019349,            0.033495,             0.15124,           0.0092124,           0.0020108,            0.089812,            0.022568,            0.018104,          0.00068772,          0.00068772,            0.093788
                   2,            0.087533,             0.02691,            0.012581,             0.69574,             0.13119,             0.13492,            0.034888,            0.076358,            0.022516,            0.010119,           0.0010331,           0.0010331,            0.090633
                   3,            0.075957,            0.026547,           0.0072059,             0.41452,             0.45375,             0.36434,             0.13685,            0.074527,            0.019073,           0.0055086,           0.0013762,           0.0013762,            0.087476
                   4,            0.069536,            0.022009,           0.0042864,             0.47831,             0.44657,             0.43969,              0.1316,            0.059385,             0.01731,           0.0036131,            0.001717,            0.001717,            0.084317
                   5,            0.066548,            0.020128,           0.0031779,             0.51179,             0.52745,             0.47352,              0.2151,            0.060755,            0.015181,           0.0026144,           0.0020555,           0.0020555,            0.081156
                   6,            0.061978,            0.018101,           0.0025487,             0.51643,             0.59294,             0.50522,              0.2232,            0.059858,            0.013676,           0.0022606,           0.0023917,           0.0023917,            0.077992
                   7,            0.059039,            0.016806,           0.0022026,             0.57333,             0.63109,              0.5865,             0.29229,            0.050933,            0.012625,            0.001812,           0.0027256,           0.0027256,            0.074826
                   8,            0.056656,            0.016346,           0.0020646,             0.66744,             0.61303,             0.64634,             0.28618,            0.049456,            0.012537,           0.0018417,           0.0030571,           0.0030571,            0.071657
                   9,            0.054148,            0.015282,           0.0018827,             0.70765,             0.62318,             0.67795,             0.30733,            0.046859,            0.012075,           0.0014619,           0.0033863,           0.0033863,            0.068486
                  10,            0.053291,            0.015277,           0.0017679,             0.81423,             0.67488,             0.75419,             0.30751,            0.046263,            0.011209,           0.0011693,           0.0037133,           0.0037133,            0.065313
                  11,            0.051097,            0.014731,            0.001557,             0.69257,             0.65352,             0.68966,             0.34192,            0.045597,            0.011725,           0.0013579,           0.0040379,           0.0040379,            0.062138
                  12,            0.049452,            0.014129,           0.0014293,             0.74614,             0.63051,             0.69146,             0.27959,            0.047787,            0.011081,           0.0016784,           0.0043602,           0.0043602,             0.05896
                  13,            0.047933,            0.014024,           0.0014335,             0.79475,             0.70151,             0.78378,             0.40863,            0.043029,            0.010395,          0.00097275,           0.0046802,           0.0046802,             0.05578
                  14,            0.046765,            0.014181,            0.001345,             0.75093,             0.71847,             0.75819,             0.39283,             0.04079,            0.010068,          0.00092694,           0.0049979,           0.0049979,            0.052598
                  15,            0.045591,            0.013759,           0.0012164,             0.87341,               0.723,             0.83152,             0.37243,            0.040008,            0.009901,          0.00089752,           0.0053133,           0.0053133,            0.049413
                  16,            0.044723,            0.013442,           0.0013563,             0.79476,             0.67401,             0.75848,             0.35401,            0.039934,            0.010012,            0.001012,           0.0056264,           0.0056264,            0.046226
                  17,            0.044265,            0.013172,           0.0011079,             0.81479,             0.69738,             0.76963,             0.33334,            0.041487,            0.010672,          0.00099179,           0.0059371,           0.0059371,            0.043037
                  18,             0.04785,            0.013677,           0.0013109,             0.75662,              0.7489,             0.81209,             0.44582,            0.040424,           0.0097456,           0.0011202,           0.0062456,           0.0062456,            0.039846
                  19,            0.050656,            0.012865,           0.0015956,             0.73518,              0.7003,             0.77415,             0.41061,            0.041082,            0.010267,           0.0012326,           0.0065517,           0.0065517,            0.036652
                  20,            0.048072,            0.013079,           0.0014196,             0.76196,             0.75136,             0.79994,             0.44453,            0.036731,           0.0097923,           0.0011833,           0.0068556,           0.0068556,            0.033456
